Start	Stop	pval	FDR
234	266	0.000628616771707434	0.0658583479623001
978	1001	0.00525391101837159	0.140868225624879
1026	1103	1.12937344897033e-05	0.0069230592421881
1114	1132	0.00101089477539062	0.0774598121643066
1304	1329	0.0048963644458596	0.140868225624879
5235	5268	0.000948015603225867	0.0774598121643066
5377	5391	0.00601847405354739	0.141897099800944
6403	6433	0.00570451564268878	0.140868225624879
7654	7670	0.0054931640625	0.140868225624879
9879	9930	0.000430589144296562	0.0658583479623001
10051	10060	0.0029296875	0.128278459821429
10104	10132	0.000644616782665254	0.0658583479623001
10400	10440	0.000425694932597812	0.0658583479623001
10467	10517	0.00170574935999188	0.0950567597886384
10557	10597	0.00147468313388017	0.0903980761068544
10681	10703	0.00335305330896901	0.1370281118932
11477	11491	0.00502890018329998	0.140868225624879
11558	11598	0.00217698859564293	0.111207834094093
14396	14426	0.00456259540688939	0.140868225624879
14642	14663	0.00516223907470703	0.140868225624879
15356	15391	0.00261396062352863	0.123258297094081
16082	16107	5.96187922411334e-05	0.0182731598219074
16199	16218	0.00461257306953649	0.140868225624879
16444	16460	0.00574503367148774	0.140868225624879
17030	17054	0.00465469259448789	0.140868225624879
17228	17269	0.00120183313484764	0.0818581901846227
