Start	Stop	pval	FDR
209	266	7.78119870046265e-05	0.0233825020948903
1028	1103	2.20684084114066e-05	0.0132631134552554
1114	1132	0.00167083740234375	0.0919137434525923
5235	5280	0.00119531981568542	0.0919137434525923
9879	9902	0.00151116334540771	0.0919137434525923
9990	10007	0.00168228149414063	0.0919137434525923
10104	10132	0.00148339569568634	0.0919137434525923
10400	10427	0.000972340176595982	0.0919137434525923
10557	10597	0.00147468313388017	0.0919137434525923
11558	11598	0.00197905816244508	0.0991178296357913
15356	15385	0.000686580811178743	0.0919137434525923
16091	16106	0.0011884175479869	0.0919137434525923
