Start	Stop	pval	FDR
209	266	7.78119870046265e-05	0.0233825020948903
978	1001	0.00630241632461549	0.140790890521662
1028	1103	2.20684084114066e-05	0.0132631134552554
1114	1132	0.00167083740234375	0.0919137434525923
1304	1329	0.00418365391241601	0.116724861386616
5235	5280	0.00119531981568542	0.0919137434525923
6403	6433	0.00570451564268878	0.140790890521662
8258	8285	0.00687740319648926	0.147618547181787
8898	8919	0.00723678826737924	0.149976198230859
9835	9872	0.00632504832626437	0.140790890521662
9879	9902	0.00151116334540771	0.0919137434525923
9907	9955	0.00276078904508382	0.116724861386616
9990	10007	0.00168228149414063	0.0919137434525923
10052	10061	0.00390625	0.116724861386616
10104	10132	0.00148339569568634	0.0919137434525923
10182	10219	0.00510434864639185	0.133378849412239
10400	10427	0.000972340176595982	0.0919137434525923
10499	10516	0.0039520263671875	0.116724861386616
10557	10597	0.00147468313388017	0.0919137434525923
10684	10702	0.00401347647262945	0.116724861386616
11477	11491	0.00601847405354739	0.140790890521662
11558	11598	0.00197905816244508	0.0991178296357913
14642	14663	0.00415802001953125	0.116724861386616
15356	15385	0.000686580811178743	0.0919137434525923
16091	16106	0.0011884175479869	0.0919137434525923
16199	16218	0.00401347647262945	0.116724861386616
17032	17055	0.00427279026706413	0.116724861386616
17321	17348	0.00386335490468727	0.116724861386616
17726	17752	0.00230634957551956	0.106624314991327
