nuc	deltaSHAPE
462	0
463	0.070157327
464	0
465	0.088927586
466	0.065865082
467	-6.70683E-05
468	-6.02435E-05
469	0.105424816
470	0.094225411
471	0.133387916
472	0.144601925
473	0.152788412
474	0.145178706
475	0.135605678
476	0.121300505
477	0.112668185
478	0.086920911
479	0.117702389
480	0
481	-5.94342E-05
482	-0.000108776
483	-0.000172042
484	-0.000169017
485	-0.00017044
486	-0.000153106
487	-0.000216098
488	-0.000182116
489	-0.000149898
490	-0.00011464
491	-8.40815E-05
492	-9.2223E-05
493	-6.03336E-05
494	-6.67441E-05
495	0
496	0
