nuc	deltaSHAPE
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	-6.15439E-05
379	-8.03463E-05
380	-0.000108464
381	-0.000157435
382	-0.000188034
383	-0.000187036
384	-0.000113721
385	-7.01907E-05
386	-6.12426E-05
387	-7.51524E-05
388	-7.33035E-05
389	0
390	0
391	0
392	0
393	-6.87965E-05
394	-0.00013617
395	-0.000153613
396	-0.000159292
397	-0.000110232
398	-6.70683E-05
399	-6.02435E-05
400	0.035943247
401	0.05488236
402	0.0523234
403	0.055242184
404	0.040606445
405	0.04212023
406	0.000182665
407	0.000147529
408	9.37925E-05
409	-5.94342E-05
410	-0.000108776
411	-0.000172042
412	-0.000169017
413	-0.00017044
414	-0.000153106
415	-0.000216098
416	-0.000182116
417	-0.000149898
418	-0.00011464
419	-8.40815E-05
420	-9.2223E-05
421	-6.03336E-05
422	-6.67441E-05
423	0
424	0
425	0.03345248
426	0.051601429
427	0.045740814
428	0.042148844
429	0.033604841
430	0
431	0
432	0
433	0
434	0
435	0.070721854
436	0.06779714
437	0.087494533
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0.080109734
448	0.115621873
449	0.104459321
450	0.104701446
451	0.114348671
452	0.085887888
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0.081157733
462	0
463	0.070157327
464	0
465	0.088927586
466	0.065865082
467	-6.70683E-05
468	-6.02435E-05
469	0.052712408
470	0.094225411
471	0.133387916
472	0.144601925
473	0.152788412
474	0.145178706
475	0.135605678
476	0.121300505
477	0.112668185
478	0.086920911
479	0.117702389
480	0
481	-5.94342E-05
482	-0.000108776
483	-0.000172042
484	-0.000169017
485	-0.00017044
486	-0.000153106
487	-0.000216098
488	-0.000182116
489	-0.000149898
490	-0.00011464
491	-8.40815E-05
492	-9.2223E-05
493	-6.03336E-05
494	-6.67441E-05
495	0
496	0
497	0
498	0
499	0
500	0
